created_at,text,like_count
2025-04-18 23:12:29,뱅뱅뱅 이거 고도의 라이엇의 바이럴아닐까 skt t1 진 복각하나,0
2025-04-18 20:59:12,skt엿나?,0
2025-04-18 20:36:47,아 맞다 skt가 아니라 유쁠이 맞아요 ㅋㅋㅋㅋㅋㅋㅋ 저희 엄마가 유쁠 써서 매번 그렇게 햇는데 제가 쓰는 통신사랑 헷갈렸어요오 유쁠이 저렇게 돼용!!,0
2025-04-18 20:34:38,혹시 skt 쓰세요? 영화 안 보시면 공차나 배라 기프티콘 같은 걸로 바꾸실 수 있는데 ㅜㅜ,0
2025-04-18 20:11:42,Skt t1 유니폼,0
2025-04-18 20:11:41,망할 skt 그리고 트위터야 디엠내나라,1
2025-04-18 19:49:16,"꼬마감독님, 지금 티원 로스터는 예전의 skt t1이 아닙니다.
상황이 많이 다르고 선수도 다릅니다.
그때의 방식이 현재의 리그에 먹히지않으면 생각을 바꾸셔야죠.
나는 그때 이 방식으로 성공했는데? 이런 마음가짐으로는 결국 모두 괴로울뿐입니다.
과거는 인정해드리지만 지금은 모르겠네요",0
2025-04-18 19:07:40,"T가 그 생각대로 T인가요?
생각대로 T라면 지금은 SKT일텐데?",0
2025-04-18 18:39:08,1호선 skt 왜케 인터넷 안터지냐 5G 뭔소용이냐 환불해줘라 이놈들아,0
2025-04-18 13:07:11,SKT의 마지막 원딜이자 T1의 첫번째 원딜 테디,3
2025-04-18 11:41:36,"오늘 유튜브에서는 최근 IonQ의 한국 일정에서 SKT & IDQ와의 미팅 뿐만 아니라 삼성전자(?)와의 회동이 있었다는데 이게 정확히 무슨 의미이고, 큰 흐름에서의 변화가 보인다는 저의 생각을 담아보았습니다. 꼭 참고해보세요!",21
2025-04-18 11:28:40,"그래서 제가 퍼플렉시티를 매인으로 씁니다
(출처가 나와 있어 아무말 판별에 용이, + SKT 는 일년간 공짜)",1
2025-04-18 10:56:33,"kt는 투폰 서비스(월 3천원)로 폰 하나에 번호 하나 더 생성할 수 있어요
skt도 찾아보면 비슷한 서비스 있을듯",1
2025-04-18 10:37:40,"뱅(not skt t1)빼고 다 처음 들어보는 게임이네요 …
메모하겠습니다…",0
