created_at,text
2025-07-03 23:21:13,SKT말하는거쥬?
2025-07-03 23:11:32,"이대통령:SKT 해킹 피해,위약금 부담 없어야!!

간보다가 큰일난다 SKT야 
얼른 위약금 없애라"
2025-07-03 22:56:45,"SKT 복귀에 '보조금 전쟁' 재점화…통신 3사, 출혈 경쟁 불가피 : 네이트 뉴스"
2025-07-03 22:09:26,오 라이즈 skt t1 라이즈 전설의전당 크로마였네 ㅋㅋ skt t1 칼리는 봤었는데 ㅋㅋ
2025-07-03 21:07:21,[RTK 만평] 최태원 '누가 뮈래도 SKT사고가 꽃보다 아름다워'
2025-07-03 20:39:32,한국적 AI 모델 ‘오픈’ 합니다…SKT·KT 같은 날 소스 공개 | 다음 - 중앙일보
2025-07-03 20:11:44,한국적 AI 모델 ‘오픈’ 합니다…SKT·KT 같은 날 소스 공개 (출처 : 중앙일보 | 네이버 뉴스)
2025-07-03 16:22:35,"울산에 초대형 AI 데이터센터…SKT ""전력·부지 확보 최적지"""
2025-07-03 14:31:27,"정보보안도 이렇게 하잖아
SKT 나 yes24 같은 일 안생김"
2025-07-03 13:15:50,skt 털린 개인정보를 무비자 중국인들이 이용하려나
2025-07-03 13:08:47,"개귀찮고 테무SKT로 생긴 또 다른 나가 
알아서 쫀득하게 해놨으면함"
2025-07-03 12:44:42,"李대통령, SKT 관련 “회사 귀책으로 계약 해지때 피해자 손해 없어야”"
2025-07-03 12:36:52,"그러나 이러한 마케팅 전략의 배경에는 심각한 보안 위협, 특히 중국과 연계된 사이버 공격의 위험성이 있다는 점을 국민들은 간과해서는 안 된다.

SKT가 신규 영업을 중단했던 핵심 이유는 바로 유심 해킹을 통한 개인정보 유출 사건이었다."
2025-07-03 12:36:28,"""아이폰도 공짜?""···SKT 신규영업 재개에 '0원폰' 곳곳에서 목격

최근 SK텔레콤이 유심(USIM) 해킹 사태로 인해 대규모 가입자 이탈을 겪은 후, 이를 만회하기 위해 신규 영업을 재개하며 파격적인 보조금 공세에 나섰다."
2025-07-03 11:24:06,우와 나는 그럼 skt도 털리고 예사도 털리고 인팤도 털린거야? ㅋㅋ
2025-07-03 11:13:37,나그냥 백그라운드재생으로 라디오처럼 듣고있어 목소리라도 들려줘서 고마워 skt..
2025-07-03 10:38:47,이미 skt에서도 털리고 다 털린 인생
2025-07-03 10:38:02,미국은 sns를 해킹해서 투표지를 위조했다고 밝혔죠 우리나라도 대선전 skt가 해킹당했고 개인정보가 유출되었죠 아니라는 기사도 뜨고 별지랄을 다하던데 ㅋㅋ 사전투표후 몇일간의 시간 그리고 보관하는시간 개인정보를 활용한 투표 용지를 위조하는 시간은 충분합니다 뭘 잘모르시네요
2025-07-03 10:23:06,"오늘 보이스피싱 받아서 혹시나 하는 마음에 보이스피싱 신고 센터에 전화 해서 신고 했는데, 센터에서 권고 사항으로 안내해주신걸 SKT 정보 유출 사건 때문에 이미 다 해서 머쓱한 상태됨"
2025-07-03 09:28:28,읭 중국에서 전화가옴... 일하느라 못받았는데 음성 메세지로 중국어를 남걋네.. 머지.... 내 개인정보 드댜 모두 털려버린것인가..!! skt인데 유심 안바꿔서 그런가 ㅋㅋㅋㅋㅋ
2025-07-03 09:25:28,"[속보]이 대통령 ＂SKT 해킹 사태, 회사 귀책 사유로 피해자 손해 없어야＂ 

(출처 : 뉴시스 | 네이버 뉴스)"
2025-07-03 09:15:04,"트럼프, 틱톡 인수할 그룹 나올 것.. 틱톡 부정선거에 사용된 위조 신분증 제작에 관여..

SKT가 털린 것도 비슷하게 활용되었을 확률도.."
2025-07-03 09:05:14,"[#속보] 李대통령, SKT 해킹사고 관련 ""피해자 손해보는 일 없어야"""
2025-07-03 09:01:39,"[네이버뉴스] [속보]李대통령, SKT 해킹사고에 ""회사 귀책 사유로 피해자 손해보는 일 없어야"""
2025-07-03 09:01:00,"KT vs SKT, 후끈 달아오르는 국내 AI 리그?

이미 ‘에이닷엑스 3.0’ 자체 개발한 SKT,
7.3 오늘 ‘에이닷엑스 4.0’ 허깅페이스에 공개!

3.0 은 100% 자체 개발이나,
4.0 은 알리바바 Qwen2.5 기반.

KT 믿음 2.0과는 아무래도 파라미터 차이에 기반 모델 수준 차이로 벤치마크 점수는 좋네요.

두"
2025-07-03 08:59:30,"재명에몽 SKT 족쳐줘
가능하면 다시 국유화도 해줘"
2025-07-03 08:54:27,"[속보] 李대통령, SKT 해킹사고 관련 ""피해자 손해보는 일 없어야"""
2025-07-03 08:53:35,"[속보]李대통령 ""SKT 사태, 회사 귀책 사유로 피해자 손해 없어야""

#뉴스1"
2025-07-03 08:05:11,"오늘부로 내 개인정보 유출 곳이 3곳이 되었다
skt 일상카페 인터파크(new)"
2025-07-03 08:02:42,"SKT, ‘A.X 4.0’ 지식형 모델 오픈소스 공개···소버린 AI개발 불 붙어

#투데이코리아 #SKT #LLM #거대언어모델 #에이닷엑스"
2025-07-03 07:09:44,"에이닷 신기능 선보인 SKT, ‘노트’서비스로 네이버 위협하나"
