created_at,text,like_count
2025-04-22 06:53:40,유심칩 당원,1
2025-04-22 04:41:25,오늘할일: 폰 유심 교체하기 통판보내기 비맞고녹아없어지기,0
2025-04-22 01:26:43,"트윗 못올린 이유를 말해보겠어요 4월13일에 갑자기 쓰던폰이 지맘대로 전원 꺼지고 그래서 반쯤 맛이 감 그래서 엄마가 집에서 쓰던 폰에 유심 옮김 지금은 잠깐 켜진김에 올림 폰 수도없이 바꿔봤지만 이번에 처음으로 공허함 허전함 좀 크게 느껴서 좀 힘들었음
#일상계_𝕏친소 #우울계_𝕏친소",5
2025-04-22 01:24:45,아뇨 최대한 어렵고 자극적인 단어를 님 유심에 심어놀꺼에요,1
2025-04-22 01:15:17,"이번 신상 나온지 얼마안된모양인데 신상 뜨면 입장도 통제하고 구매에도 개수 제한걸리나바
입장할때 ONLY 라인으로만 예약할 수 있는 시간대별 표가 있는데 내가 전화 로밍 안 하고 데이터만 되는 유심칩을 사서ㅋㅋ 라인 로그인할 때 오는 인증문자를 못받아서 나만 못 들어갔어...^^...(ㅠㅠ)",0
2025-04-22 01:04:33,저건 태블릿 폰은 공기계 있어서 내일 대리점 가서 유심 바꾸려고,0
2025-04-22 00:24:51,아직도 안되면... 유심칩을 한번 빼고 닦고 다시 껴볼까요...,0
2025-04-21 23:57:50,"아아 그럼 유심만 갈면 
빠르게 옮기면 되겠네요!!",0
2025-04-21 23:54:30,내일 대리점 가서 유심 바꾸려구요..,0
2025-04-21 23:51:36,"아..아니면 조금 기다려볼까요..?
유심 뺏다껴서 조금 기다려야될수도,,",0
2025-04-21 22:38:25,유심이랑 다 어딧노,0
2025-04-21 22:24:11,(?를 유심하게 바라본다. 네쥬는 아주 춥고 먼 곳에서 자라서 시력과 관찰력은 좋다. 반영될지는 모르겠지만 눈 찌푸려가며 살핀다.),0
2025-04-21 21:51:46,"새우 많이 들어간 파에야였으면 좋겠다고 생각하다 (꿔바광기있었는데 아… 내일 꿔바 먹으러 가야겟네요) 
뭐 넣었나 유심… 히 보다가 과일도 사가고… 그치 아무래도 집에선 그냥 바로 딲여다가 재우면 되니까 ㅍ.ㅍ` 집에서 맹글다가 어때 맛 괜찮은 것 같아< 하면서 기미를 니힐한테 맡기다",0
2025-04-21 21:43:57,"저 내일 유심이랑 일본전화번호 받을수있어서
진짜 사장님 ㅂ보러갈수있어요
흐엉엉
밤
zepp 삿포로 가다",10
물도 잘마시고,"목욕도 잘하는데 입짧""",6
2025-04-21 20:25:05,"당내 경선에서 이재명이 압도적인 득표율이 나오는건 당연하다

민주당은 없어지고 찢당된지 오래다
이재명 반대하는 당원들은 온갖 이유를 붙여 내쫒고 유심칩 조선족 등 다양한 경로의 이재명 지지자들이 대거 당원으로 등록했기 때문이다

아마 중국이랑 합치자고 해도(속국) 찬성 80%는 나올거다",9
2025-04-21 19:41:36,"우와...
나 유심을 10년 동안 썼다고..?
경고문 나올만하네 ㅋ",3
2025-04-21 19:11:43,"여행자보험
유심
추가수하물 결제
항공권 여권정보업데이트 
스파예약 
컵라면사기",10
2025-04-21 19:05:51,"폰을 잃어버렸으면 나한테 메일을 하든가 어떻게든 연락을 취해야지 사람을 마냥 기다리게 해?
알겟어요미안해요진짜..
내 폰번 몰라?
한국폰번이잖아요.. ㅠ
아 그니까 유심 안 해온 내탓이다?
..아뇨 우성이탓..?같아요
네탓맞아
이잉
귀여운척하지마
으응..
삼십분동안 금지야
잉",42
