created_at,text,like_count
2025-04-23 23:59:09,유심 잠금했다가 puk 번호 때문에 막혀서 난리었는데 공동인증서도 만료되어서 멘붕이다가 겨우 해결 ㅠㅠㅠㅠㅠ.. 유심 함부로 뭐 하지 맙시다,0
2025-04-23 23:59:04,트위터 하고 핸펀으로 이상한짓 많이 한 사람들은 유심칩 해킹 소리에 심장이 벌렁거릴듯 ㄷㄷ. 이걸 계기로 핸펀 버리고 유선전화 쓰시길염.,0
2025-04-23 23:58:05,내일 아침에 유심 무상변경 해달라고 문의넣어야겠음 장난하는 것도 아니고 진짜,6
2025-04-23 23:57:03,"티월드앱에 무료서비스 메뉴쪽
유심보호서비스 없었는데 해킹사건으로 샘김",0
2025-04-23 23:55:49,유심교체도 무상으로 해줘야지!!,0
2025-04-23 23:53:51,"이봐요. 유심 무상 교체를 진행 하세요.
이거 가입하려면 로밍도 해제해야하는데 
왜 뒷감당을 소비자가 해야하는데요??",1
2025-04-23 23:52:52,skt 그냥 빡쳐서 홧김에 유심 바꾸고 옴,4
2025-04-23 23:52:50,계좌관련으로 다 전화돌리고 구글플레이에도 환불요청하고 경찰서도 가야지....유심도 바꿀려고 했는데 일이 한꺼번에 부닥치네...,0
2025-04-23 23:52:13,전에 알뜰폰으로 유심 갈아타면서 모바일 교통카드 오류나서 다른 폰으로 이전 유심 꽂아다가 잔액 이전 신청했고 카드번호도 바뀌어서 알뜰 교통카드(지금은 K-패스)도 재등록해야 했었으니 유심에도 고유번호가 있단 뜻인데 이게 진짜 안 중요함...??,0
2025-04-23 23:51:50,지금 유심보호서비스 가입 해봤더니 기존 데이터로밍 어쩌고는 알아서 해지되네 ㅋㅋㅋㅋㅋㅋ,0
2025-04-23 23:50:59,내가 유심보호서비스를 해지하기까지 문자를SKT 6개 은행에서 3개를 받음ㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ,1
2025-04-23 23:50:47,뭐 해야 하는게 왜이렇게 많나요. skt여서 유심 관련으로 문제도 생겨....내 명의는 도용을 당했지요... 안그래도 오늘 모르는 폰으로 로그인되서 그걸 로그아웃했죠...근데 그놈자식 끈질겼군요...ㅎ,0
2025-04-23 23:50:44,아 존나 개븅신같애 시발.. 국가 통신사가 하는 일이라곤 유심 해킹 당하기 ㅇㅈㄹ 쳐 하고 있음,0
2025-04-23 23:50:20,그니께요ㅜ 유심 정보 털렸대요ㅠ,1
2025-04-23 23:50:15,유심교체비용 보상해라 ㅅㅂ 시간내서 언제 가냐고,0
