created_at,text
2025-04-27 23:57:32,유심 무료교체 해줄라믄 지들이 한땀한땀 확인해서 물량 확인한후 사용자 개개인에게 택배로 집앞으로 보내줘야하는거 아님? 왜 내가 바쁜데 매장가서 줄서고 오픈런해야함?
2025-04-27 23:57:02,이거 보고 희망을 가지고 삼성 디지털프라자 왔는데 아무래도 할루시네이션 같아요. 유심은 취급하지 않는다고 하네요..
2025-04-27 23:56:54,와 회사 근처 대리점에 skt 유심 바꾸려고 아침부터 줄서잇음 ;;
2025-04-27 23:55:52,"[유심보호서비스로 해킹 피해 막겠습니다.
믿고 가입해 주십시오.]

아 유심 없대? 번이하지 뭐
딱 이생각이니까...
아마 skt도 적당히 뭉갤려했는데 이탈자가 눈에 띄게 늘어나까 나선듯

도른자들이여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그니까 제대로 대책을 내놨어야지"
2025-04-27 23:55:06,"예약하십쇼
유심 무료 교체 신청 -"
2025-04-27 23:54:29,"그래도 불안하면 유심교체 하라??
사고는 SKT 당신들이 쳐놓고
왜 피해자인 고객들에게 모든걸 떠넘김?
물량확보도 안해둔 유심 무료교체라고
생색내고??"
2025-04-27 23:54:24,"금방 거리 걸어가는데 특정장소앞에 사람들이 많이 모여있길래 뭔가했더니 SK텔레콤 대리점앞이였네 
유심교체하러 오신듯"
2025-04-27 23:53:50,#SKT #해킹 사건 #유심 #보안 관련 #FAQ
2025-04-27 23:53:37,지금 심각한게 유심 제공회사가 코나아이 라고 리재 ㅁ 이미는 회사라는 루머가 도는게 지금 이것도 저것도 다 심각한 상황같아요 한국은 정말 큰일이에요 몇달세에 정말 서울 전지역에서 중국어 너무 많이 들리고 곳곳에서 북한말 쓰는 사람 조선족말투 사람도 안들리던데서 다들려요 정말 소름
2025-04-27 23:52:56,유심 보호 서비스 가입시켜서 퉁치려는 행태가 좀 많이 역겹네 ㅋㅋ
2025-04-27 23:52:08,여기는 유심 관련 안내문 안붙어 있는거보니...살짝 기대중이욤
2025-04-27 23:52:06,"트친뷴들 맞구독분들 팔로워분들
skt 쓰시면 유심보호서비스 가입해쥬세요♡"
