created_at,text
2025-06-30 23:56:08,폰 유심이 죽어서 매장에 방문해야한다는 슬픈 사실
2025-06-30 23:33:47,"작동이 너무나도 잘되서 문제랄까요? ㅋㅋㅋ
한번씩 볼때마다 틈이 보이면 꾹꾹 눌러주고 있어요ㅋ
어차피 할부는 끝나서, 바꿀까 말까 고민중이라 수리는 뒷전이에요 ㅋㅋㅋ
(유심도 귀찮아서 교체하러 안가는 1인 )"
2025-06-30 22:38:11,타워 레코드 택스프리 카운터에 여권을 두고 왔다가 다른 가게에서 급당황. 전화를 몇군데 걸어서 일정 끝나고 찾아올 수 있었음. 일본유심 안만들었으면 큰일날 뻔. -_-;;;
2025-06-30 22:28:12,"어제 겪은 나의 멘탈 바삭 일화
유심을 바꾸고 나서 집에오는 길에
1. 유심 잃어버림
2. 난 이전 유심에서 티머니 해제 안함
3. 교통카드 도용가능성
4. 착잡한 와중에 타블렛펜 먼지 청소하겠다고 하다 타블렛펜 망가짐
5. 무선 키보드도 갑자기 망가짐(배터리 교체도 해봄)"
2025-06-30 21:06:49,"-Viber앱 실행
개인정보, 한국번호 입력 후 인증

-기존 유심  라쿠텐 유심으로 교체

-vpn 실행 후 Viber앱 실행 
우측 하단 more  settings  account  change phone number  continue  라쿠텐 유심에 적힌 일본 번호 입력하여 인증 진행
인증번호 입력 시 제한시간 수십초 주어지고"
2025-06-30 21:05:08,"다시는 헤매지 않으려고 정리하는

 티켓피아 가입/응모 방법
(2025 태민 아레나 투어 기준)

-가입 전 해둘 일:

1. 라쿠텐 유심 구매
실물 유심 도착 후에 가입 가능
구매 옵션  이미지 첨부


2. 배대지 등 일본 주소 확보
저는 훗타운 이용했어요!

3. 탬제이 가입"
2025-06-30 20:49:41,[안내] 필리핀 유심 등록 대행합니다.개통부터 개별등록까지 한 번에 해결! 【텔】 #필리핀유심등록 #필리핀유심...  via
2025-06-30 20:09:03,제 폰 유심이 맛탱이가 갔어요.
2025-06-30 20:08:37,"가입 후 인증 완료 시 한국 유심 빼고 
라쿠텐 유심으로 바꿔서 장착하기 

 - 바이버 어플 실행하기 
 - Settings - Account - 
    Change Phone Number 눌러서 
    라쿠텐서 받은 일본 번호로 변경하기 
  - 문자로 인증번호 날라오면 입력"
2025-06-30 20:05:27,"[ Viber 바이버 어플 ] 

저는 공기계가 있으나 원래 쓰던
폰으로 한/일 유심을 바꿔가며 진행함 

 - 바이버 어플 깔기 
 - 한국 번호(010)로 가입하기
국제전화 오는데 안 받아도 되고 뒤의
네자리 숫자만 잘 확인하고 입력하기"
2025-06-30 20:01:53,"[ 라쿠텐 유심 구매 ] 

  

여기서 샀고 배송 이틀만에 왔음"
2025-06-30 19:57:32,"사진에 적은 코멘트 참고하기
저는 라쿠텐 유심을 사서 그냥
전화번호도 일본 번호로 썼는데
회원가입은 따로 인증하는 거 없어서
본인 휴대폰 번호 해도 상관 없는듯? 
훗타운은 그냥 참고할 겸 같이 올림"
