created_at,text,sentiment,score
2025-04-18 23:37:14,"오늘 유심 상담만 하려다 만들고 옴...;;
그리고 다이소에서 몇개사고 오다가 트뭐시기 갔다 장보고옴 존나 힘들었다...",negative,0.007639825344085693
2025-04-18 23:08:42,또 유심 풀린듯,negative,0.05087733268737793
2025-04-18 22:25:34,"저번주 토요일에 배송옴
타지에 있어서 확인 못함
일요일에 외할아버지 돌아가심
집에와서 택배 방치
화요일부터 쓰려니 케이스 필름 없어서 신경쓰임
수요일에 기변하려니 esim임
알뜰폰 전화 할 생각하니 피곤함
그 김에 통신사 바꾸기로
신청해서 유심 받음
저번 통신사 3개월 안지남",negative,0.006100177764892578
2025-04-18 22:17:38,통신사 바꿨는데 중고로 산 16 에는 유심 인식이 안돼서 계속 12mini 쓰고있음...개열받는다 일주일째다,negative,0.4439946413040161
2025-04-18 21:51:00,그냥 가는길에잇는 핸드폰센터 드가서 유심 새로사던가 해야지 ㅅㅂ ㅠㅠ,negative,0.29160189628601074
2025-04-18 21:49:52,씨바 또 유심애 문제 생겨서 저는 내일 핸드폰을 하지못하는 상태로 디페가게생김,negative,0.31961309909820557
2025-04-18 21:35:27,핸드폰 병심새끼 또 유심 인식못함 등신쉨,negative,0.09337317943572998
2025-04-18 21:12:57,굿즈 사고 언오피셜 스트리밍 사고 유심 사고 트친들 나눠줄 김 사고.....내돈,negative,0.004053890705108643
2025-04-18 20:56:22,"그거 네이버에 검색하시면 일본 유심 파는 스토어 유명한곳 나와요!
티켓사이트에서 티켓구매 하시려는건가요?? 사이트 가입할때 전화번호가 필요한데 이게 스토어에서 사게되면 유효기간이 한달인가 밖에 안돼서 매달 갱신을 해줘야할거에요..!",positive,0.5921856164932251
2025-04-18 20:35:01,라쿠텐 유심으로 하시면 그거 이용해야해요 ! 근데 바이버 사용하시려면 유료 시스템 결제해야해서 한달 기준으로 8천원 내야해요,negative,0.2497621774673462
2025-04-18 20:32:58,"U+유모바일, 다이소에서 알뜰폰 유심 판매 시작",negative,0.15855038166046143
2025-04-18 20:26:20,"유심하오 이번에는 몇위 찍으셧을지..?
그대로면 부정 못막은거죠 뭐",negative,0.11237233877182007
2025-04-18 20:15:35,"항공권 숙소 비자 완-
유심만 사면 끝이다",negative,0.0612373948097229
2025-04-18 19:35:55,"애들이 그렇게 가짜소문만든지 n개월쯤 되면
태준기는 교무실에서 생기부랑 씨름한다고 모니터에 눈박고있는 강대진선생님을 보면서
저거이 어디가 길케 좋다는거야...
하고 유심하게 보는날이 많아지고
그때되서 강대진선생님이 자기한테는 유난하게 군다는것도
알아버린거야...",negative,0.2601701617240906
2025-04-18 19:15:17,저 라인 스탬프... 나 아직 일본 유심이랑 데이터 남아잇어서 바꿀 수는 잇는데 이거 한국에서 켜도 되나 싶음 켜면 뭣될거갵은데,negative,0.264181911945343
2025-04-18 19:13:46,"지 형님 폐암으로 돌아가신것도
자살 교통사고로
거짓말 하는 이재명
그래야
지 형님 강제 정신병원에 입원시킬려고 했는게 정당화 되니 거짓말.
지 형수에게는
시도때도 없이 쌍욕 박는게 당신이 말하는 이재명이다.
이 개쓰레기 유심칩아",negative,0.012579619884490967
2025-04-18 18:26:41,"능지는 니가 읍지
유심칩아",negative,0.2131633162498474
2025-04-18 17:48:13,원래 전번은 처음부터 내거였는데 유심칩 잃어버려서 못 쓰고 그거때문에 첫 네이버계정도 복구 못하는중,negative,0.09781986474990845
2025-04-18 17:46:38,유심 더 싼걸로 샀더니 핸드폰이 생겼다...?,negative,0.05886322259902954
2025-04-18 17:44:16,s20+ 로 바꿀때 이후로 유심 쭉 쓴거같은데 그럼 그게 벌써 5년전이네,negative,0.29226481914520264
2025-04-18 17:42:16,남들은 엘베에서 데이터 안끊기던데 왜 나만그르지 크트인데 유심 오래되서 그른가???,positive,0.5987532138824463
2025-04-18 17:13:48,치케프라트레이드 있어서 이번엔 유심없어도 보러갈수잇긴해,positive,0.7713072299957275
2025-04-18 16:12:32,"ㅋㅋㄱㄱ규ㅜㅜㅡㅜ 아 유심 로봇님 오랜만이다
ㅋㅋㄱㄱ규ㅜㅜㅜㅜㅜㅡ",positive,0.9243482351303101
2025-04-18 16:00:56,지능이 정상이면 누구나 아는 사실인데 능지 파괴된 중공유심칩 개딸년들만 몰라요 호호,negative,0.17377102375030518
2025-04-18 15:59:30,그 욕쟁이 지 출마영상 조회수 올리려고 중공 유심칩 더 풀 듯ㅋ,negative,0.10289925336837769
2025-04-18 14:43:28,유심문제 고치러왓는데 1분만에해결돼서 듀아아함,negative,0.20890098810195923
2025-04-18 13:57:36,"매크로사용은 개딸들이 잘하는거 아닌가, 중국 유심칩 이용해서.. 
역시 찢빙신방송이네.",positive,0.644302248954773
2025-04-18 13:51:26,매달 오만원씩이나 내고 핸드폰중독 생활을 이어가던 내가 유심이 고장나서 지금 버스 와이파이를 빌러 트위터를 하고있다니..,negative,0.09173917770385742
2025-04-18 13:40:09,… ? (모험가들의 직업에 대해 유심있게 보는 중),positive,0.568861722946167
2025-04-18 13:34:41,알뜰폰 기업 U+유모바일이 고고팩토리와 제휴해 전국 741개 다이소 직영 매장에서 'U+유모바일' 전용 유심을 판매한다고 18일 밝혔다.,negative,0.46913594007492065
2025-04-18 13:31:38,"원화전 준비 어쩌구...
유심 어디다놧지",negative,0.05278855562210083
2025-04-18 13:04:17,"진심 너무부러워서 눈물남...........
집에 쓰다버린 일본유심만 1억개...(허세)",negative,0.13666796684265137
2025-04-18 12:46:33,유심바꿀게용,negative,0.06488251686096191
2025-04-18 12:19:03,아니 제 핸드폰 방수기능때문에 똥꼬 봉쇄된 씹탑폰이에요 유심이없어졋을리가없잖아앗~!!,positive,0.6201400756835938
2025-04-18 12:18:05,ㅇㄴ 곤란한데 갑자기 유심인식이안됨;;,negative,0.12890315055847168
2025-04-18 12:13:46,"???? 갑자기 유심이없어졋다는데
없어졋을리가없잖아미친",positive,0.8325335383415222
2025-04-18 12:08:03,앜ㅋㅋㅋ ㅠ 저도 유심.. 제대로 안할것 같아 한국에서 이심했어요 ㅎㅎ  아마 짐 맡기고 뚜벅이 하다 시부야에 계속 있을것 같아여,negative,0.022140681743621826
2025-04-18 11:57:41,"이런** 이게 2월이었는데
3월말의 나 : 일본유심사야해. 가자.",negative,0.2595694661140442
2025-04-18 11:50:05,"자랑 좀 해볼게요.^^

1) 충청담당 유심 집중데이!! 
충북소매에서 화이팅 해보았지요.!!
2) 3월 퍼펙트 매장은 유림에서!!!
3) 3월 충북소매는 트리플 달성!! 4월은 그랜드 가잣!!!

간단하게 자랑 끝!!",negative,0.4167727828025818
2025-04-18 11:42:50,누가 엑스를 자기 이름 걸고 해ㅋㅋ 다 중공 시진핑의 개 유심칩 배급견들이지ㅋ,negative,0.043701767921447754
2025-04-18 11:10:09,"[충청 유심집중데이 Event!!]

4월 11~14일까지 약 4일간 유심집중데이
이벤트 진행했는데요

충남 유희와
충북 유림,우리,알파&충청홈소매 행복아이티에서
이벤트기간동안 유심MNP성과를 만들어주셨어요!!

총 7개 매장에는
맛있는 간식과 든든한 판촉물을 전달해드렸습니다

추카포카",positive,0.9068143963813782
2025-04-18 11:02:30,도착했는데 유심이 난리야ㅠㅠㅠㅠ,negative,0.42075490951538086
2025-04-18 10:19:58,뭐지 내 기억엔 하나셀 유심 봉투?에 유심핀 동봉된 걸로 기억하는데 착각인가…,negative,0.060266315937042236
2025-04-18 09:55:31,저도 유심은 안바꾸고 계속써욬ㅋㅋ,negative,0.22600656747817993
2025-04-18 09:52:47,자급제로 엘티이 유심 아직도 쓰는 사람 추가,negative,0.08910953998565674
2025-04-18 09:46:08,하나셀유심 넣은 전화기에서 데이터를 쓸 때 데이터로밍용 e심을 사서 셀룰러 데이터를 하나셀말고 e심으로 설정을 해야 돈이 덜 깨지는거 맞음??,negative,0.03579741716384888
2025-04-18 09:45:21,맞아요마자요 클립은 훌륭한 유심핀입니다,negative,0.2931872606277466
2025-04-18 09:36:09,"전 유심 수납 파우치? 들고 다님
일본 유심 2개 + 데이터용(이제 e심 되서 안시지만) + 유심핀 수납용",negative,0.03512996435165405
2025-04-18 09:27:07,보통 오타쿠는 가방에서 캔뱃지 하나 떼서 핀 펴서 유심트레이에 찔러넣는 편이죠,negative,0.18700242042541504
2025-04-18 09:21:14,"물론 공항나름 직원나름일수 있겠지만 일단 카운터에 클립 준비되어 있어서 직원도 아 하고 바로 집어줬던걸로 기억해요
하지만 하나셀 부스에서도 얘기하는걸 까먹고 자리를 떠났다...이러면 이제 편의점 다이소 등을 찾아나서거나 해야하니 잊지말고 받을 때 얘기합시다 하나셀 유심 자체엔 핀 동봉X",negative,0.44356244802474976
2025-04-18 09:15:14,"하나셀 팁...이랄것도 아닌거 같지만
유심 받으러 가는데 유심 트레이 뽑는 용도의 핀이 없다..!
하나셀 부스에서 얘기하면(그냥 유심트레이 보여주면서 가리키기만 해도) 직원이 아주 익숙하다는듯 클립 하나 건네주더라구요 돈워리",negative,0.052939772605895996
2025-04-18 08:36:25,나 하나셀 낄 폰은 가져왔는데 그 유심핀을 안가져옴... 근처 매장에 부탁하면 잠시 빌려주겠지?,negative,0.12903398275375366
2025-04-18 08:33:29,키링 뒤태가 심각하게 귀여워서 유심이 보니,positive,0.8697953224182129
2025-04-18 01:35:24,"어흑 시발 토요일출국인데 진짜 아무것도 안함
유심이랑 환전할수있다고이렇게살면안되는데
엑셀에 일정표도 안만듦",negative,0.006761431694030762
